year,rate
1975,7.25
1976,6.25
1977,7.75
1978,11.75
1979,15.25
1980,21.50
1981,15.75
1982,11.50
1983,11.00
1984,10.75
1985,9.50
1986,7.50
1987,8.75
1988,10.50
1989,10.50
1990,9.00
1991,6.50
1992,6.00
1993,6.00
1994,8.50
1995,8.50
1996,8.25
1997,8.50
1998,7.75
1999,8.50
2000,9.50
2001,4.75
2002,4.25
2003,4.00
2004,5.25
2005,7.25
2006,8.25
2007,7.25
2008,3.25
2009,3.25
2010,3.25
2011,3.25
2012,3.25
2013,3.25
2014,3.25
2015,3.50
2016,3.75
2017,4.50
2018,5.50
2019,4.75
2020,3.25
2021,3.25
2022,7.50
2023,8.50
2024,7.75
